name, address, account type
Beaxy Token ,0x827D53c8170aF52625f414bde00326Fc8A085E86,Contract
PointPay Token ,0x8f179114235842978D8917e08721541072C46584,Contract
Zedxion (USDZ),0x0a661F6AD63a1500D714ED1EeEdb64ec493a54A8,Contract
mSamex Exchange ,0x062A848Abb7f298d44893f17878d46a4b572E05E,Contract
DHD Coin ,0x20B4B41DDaECD180798bd4322BA971FA1A54e512,Contract
DIGIFINEXTOKEN ,0x4ac363455468C22F7F656E994B67f2275Fb3badd,Contract
Lyb ,0x2077fC3599AC232143275a6e804AeB069a6d57b6,Contract
rBitex ,0xFb3A7bfc0d54E9347E321242D1723809415F8fE4,Contract
Bitpanda Ecosystem Token (BEST),0x1B073382E63411E3BcfFE90aC1B9A43feFa1Ec6F,Contract
D3V1L ,0x1a057b6A5eFC58577fA30c824Bf2a6fD8eDB40e4,Contract
KubitCoin ,0xA140537594b908AB5bB621cFf714d8A483341cE9,Contract
Lucky Finance ,0x59aB4584CF661F921c3b25A433f3D8A08B416B7b,Contract
Tcash ,0x7051620d11042c4335069AaA4f10Cd3B4290C681,Contract
AAX Token ,0x686C650dbcFEaa75D09B883621Ad810F5952bD5d,Contract
Bkex Token ,0xe7ffAB3383f1CA3EA739bf377Ffb74465987c612,Contract
SOLOXCOIN ,0xB1F233835de2440620332267ba729bFE74FA2CfD,Contract
Trade Token X ,0xd947b0ceab2A8885866B9A04A06AE99DE852a3d4,Contract
Wand Token ,0x27f610BF36ecA0939093343ac28b1534a721DBB4,Contract
flexBTC ,0x2B93824ad1c8c2DD79351FaCaE9473eAEf062366,Contract
ACEX ,0x0BE7C99Ff48FCcb4aA8096d174cAcf079c3d1717,Contract
Cresio ,0xdb2b3DB44820526e7472DEa06506B2E40506b3b9,Contract
FUTURAX (FTXT),0x41875C2332B0877cDFAA699B641402b7D4642c32,Contract
BitgetDeFiToken ,0x3779D960261f882750B39C622527822C88c98e13,Contract
NitroEx (NTX),0xFDb15e5E6799Be72798b1ccFAEcbF186Bf73A0c4,Contract
GDAC Exchange Token ,0x6A0B8F1e9a0aD411a8819EDc6E1a29Bd14e0F0a0,Contract
BitCoke Token ,0x832c8B1bf8c89F1f827c2BDee2A951530A4e712F,Contract
Coineal Token ,0xAcCe88F5A63A5e65DB9AA7303720bE16b556E751,Contract
Kodobit ,0x2b78aEFfB8F3B92f693cfB4F5EE86c99f9a1BCbb,Contract
SatoExchange ,0xe96F2c381E267a96C29bbB8ab05AB7d3527b45Ab,Contract
Dynamic Trading Rights ,0xd234BF2410a0009dF9c3C63b610c09738f18ccD7,Contract
evic ,0x3AEc6473744ea75dc3b2206fAD1E057d52cA46DD,Contract
2GT_token ,0xC96c1609A1a45CcC667B2b7FA6508e29617f7b69,Contract
QNFT Token ,0x50884C41E84B69f936d3bb90493504f21c7b881d,Contract
CoinDeal Token ,0xcb17cD357c7acD594717D899ecb9df540F633F27,Contract
AXNET ,0x304281F3d1023A2039ea930C65F8F721d7C746c8,Contract
ZTCoin ,0xFE39e6a32AcD2aF7955Cb3D406Ba2B55C901f247,Contract
Finandy ,0x56d649FF34e83b61c94Da1E6f92617b7C5210beB,Contract
